review,sentiment
"Having majored in Western History when I was a student in college seeing the views on World War II are quite discomforting and in a whole completely wrong. World War II was the most graphic and bloody affairs to ever occur in world history. While the Axis Powers conducted many crimes against humanity which is still the view today and the correct many people forget that not every German soldier was out to exterminate the Jewish population, not every Japanese soldier swung a samurai sword around and flew kamikaze missions, and not every Italian soldier was a Fascist. Most of these soldiers for the Axis powers were normal people like you and I caught in a terrible conflict and just happened to be fighting for a country they loved.<br /><br />The Battle of Stalingrad was arguably the most lethal battles in world history with over 1,500,000 casualties sustained over the course of the battle. The film Stalingrad follows a German platoon and its leader Lieutenant von Witzland as they are reassigned to the Eastern Front to battle the Soviets at Stalingrad. Von Witzland acts as sort of the main character with two other men, Rollo and Fritzi. They all are normal men and seem to be completely unaware to what is happening back in Germany and Poland.<br /><br />The film follows the course of the battle. The film is overall very bleak when it comes to its portrayal of combat and a soldiers life during the battle. We are shown numerous gruesome battles and intense violence outside of the battles (including a firing squad sequence). Overall the battles are the earliest examples that I know of that portray the loss of limbs and overall in your face death sequences and violence. Much of the inspiration for Saving Private Ryan's battle sequences seem to have come from this film.<br /><br />The film does not aim to make the German's completely innocent of everything in the film. Several of the higher ranking officers of the army are portrayed in the usual view most people are use to, evil. Most of the soldiers are just normal people who often speak of home. The film makes it clear quite quickly that not all Germans were responsible for what happened during the Holocaust, most of the country and army was entirely oblivious to the fact that genocide was taking place. The film makes it clear that the soldiers in the Germany Army was simply fighting for a cause they really didn't understand and most wished just to return home rather than freezing in negative degree temperatures in Russia.<br /><br />The film really shows how hellish war is, especially World War II. The battle scenes will shock you with its gritty realism and the story is quite easy to follow as you are simply following a platoon during the battle. As with most war films do not expect much happiness after seeing it. It will leave you in a bit of a depressed mood just from seeing the life most of the soldiers on the Eastern Front faced. Not recommended for children. <br /><br />4/5 stars",positive
"An unexpected pleasure as I had heard nothing about this film.<br /><br />Shameful since it warrants having a wider audience.<br /><br />A wonderfully humane story with a social message gently told, although admittedly predictable in its resolution. Solidly acted by the principals. Beautifully photographed with muted colors floating against grey that captures the nostalgic tone of the film.<br /><br />My recent foray into Chinese film (Shower, The Road Home, Not One Less) has been an exciting one that I hope to continue exploring. China and its people is an amazing canvas for film-makers. ""The King of Masks"" can be highly recommended as a starting point for anyone similarly interested in recent Chinese film.<br /><br />",positive
"This is the best picture about baseball since Redford whacked The Natural our way. Dennis Quaid and Rachel Griffiths light up the screen with a great story and a cast that seemed real enough to pull you into their lives. <br /><br />Laced with dreams - dripping in reality, the American Dream reignites after 9.11 with a true story about the Devil Ray's mid-life rookie, Jimmy Morris. Australian born actress, Rachel Griffiths, plays a native West Texan better than a lot of Texans I know; and Dennis Quaid was perfection  cast as the wannabe, gonnabe and humble winner with as much psychological baggage as the average viewer in the audience. It's real. The on-screen chemistry works. If you like baseball heart-warmers, you're going to love this film. The ingredients for Americana and apple pie were all in there. My popcorn became the a la mode'. <br /><br />And hey: buy the CD! The music rocks and carries the story magnificently! Syncing words and music pushes the story forward exactly the way it should, an area that disappoints me more often than not.<br /><br />Criticisms: I'd have given the baseball to somebody else. But Quaid has something to teach us all about character' and heart. St. Rita and the nuns were a nice decoration, but they never really found their place in the story to open and close around them. A little long. Worth every minute in the last analysis. 8 / 10. <br /><br />",positive
"The script for ""Scary Movie 2"" just wasn't ready to go. This is a problem with the film that is blatantly evident, to the actors and the audience alike. Director Keenan Ivory Wayans, and many of the actors are funny people; and so the movie isn't completely humorless. To their credit, the film has several funny moments. But as a whole, ""Scary Movie 2"" is not even close to being as clever and amusing as the original.<br /><br />The first ""Scary Movie"" was a laugh a minute film. It turned the smallest subtleties of the slasher film genre into comedic gold. The humor in ""Scary Movie 2"" is as heavy handed as it is un-original. They even miss obvious opportunities for parody. Two of the movies stars are former cast members of ""Beverly Hills 90210,"" and this was a show that was begging to be parodied! In the final analysis, ""Scary Movie 2"" is like a fine bottle of wine that was opened far too soon. The script needed a lot more time to age. 2 stars out of 5.",negative
"Trapped: buried alive brings us to a resort that has just opened, and is soon to close.<br /><br />We start with a guy in gear blowing up drifts, to avoid the possibility of avalanches. somehow, that doesn't make sense. anyways, he's about to blow away one particularly big one, when he notices the resort is open. despite his best efforts, higher authority tells him his day is over.<br /><br />soon, as everyone expects, an avalanche hits.<br /><br />Look, i'm not gonna reveal any more, all i can say is this was a B-movie designed for the family channel (which i just saw it on, and the fact it had no commercials proves it's a B-movie) anyways, it's a pretty decent film, but it's partially unreal.<br /><br />firsthand, when people are buried by ice and snow, they're buried. not just traced by powder. or, what about a CD for a screwdriver? it's not possible. and finally, what i can't stress enough, is that an explosion cannot stop a avalanche, guaranteed.<br /><br />furthermore, it's worth a rental or a TV viewing, but not owning. 7/10.<br /><br />The movie is rated PG, but maybe it should have received something a little more strong. a boy nearly loses his foot in an elevator, but his leg is cut around the ankle, a guy is toasted by electricity and diesel, and in the weight room, dead people are laying around.<br /><br />enjoy.",positive
"When HOPPITY GOES TO TOWN he discovers nothing but bad news for his little insect neighbors in the Lowlands. Can this honest, good-natured grasshopper save his sweetheart, Miss Honey Bee, from the machinations of the evil C. Bagley Beetle - and also lead his friends to a safe new home - before it's too late?<br /><br />While not one of the great animated features (a very new art at the time this film was created) HOPPITY is an enjoyable film which should bring pleasure to uncritical viewers. Technically it is well made, with animation of a generally high quality. The movie's main drawback is that none of the characters really have any `heart' - they don't come `alive' on the screen in the way Jiminy Cricket did a year earlier in PINOCCHIO.<br /><br />However, it is ultimately unfair to compare the Fleischer Studio output with that of Disney. Max & Dave Fleischer had their own star to follow; their contribution - and it would be a considerable one - would be in the realm of the one-reel cartoon. With their POPEYE and BETTY BOOP series they created alternate realities as viable as any produced by other cartoon studios. HOPPITY was their second experiment with feature length animation (after GULLIVER'S TRAVELS in 1939), and henceforth they would expend their energies again on the cartoon short subject. In fact, the first in the highly acclaimed SUPERMAN series was already in release.<br /><br />HOPPITY'S story owes a great deal to Frank Capra, with it's energetic, go get em hero up against powerful societal forces. Indeed, the film's original title was MR. BUG GOES TO TOWN, which immediately puts one in mind of Gary Cooper or Jimmy Stewart and their Capraesque adventures.<br /><br />Jack Mercer, famous as the voice of Popeye, here speaks for two very different characters, old Mr. Bumble & Swat the Fly. Movie mavens should be able to catch veteran voice actors Pinto Colvig & Mae Questel, both in uncredited roles.<br /><br />The film has some pleasant songs supplied by Hoagy Carmichael & Frank Loesser, of which `Be My Little Baby Bumble Bee' is the most familiar. `We're The Couple In The Castle' is a fine romantic tune which deserves to be rediscovered.<br /><br />It is unfortunate that the film's initial animation, with its sweep out of the heavens and past the in-depth New York skyline, is obscured behind the opening credits.",positive
"After 21 movies and three years of working in Hollywood Bette Davis finally got a role she claimed as her own and which put her as a force to be reckoned with. As Mildred Rogers, Davis burst forth with a completely unsympathetic role of a slutty waitress who becomes the target of Leslie Howard's affections, and already eager to sink her teeth into a role like this, she had no qualms of the awful things her character was meant to do throughout the course of the film and the awful transformation she would undergo. It also has been widely noted that her performance here, one of the few things that makes this slightly uneven movie watchable, has been the one to remember even after two remakes and the scenes where she rips into Howard have made cinema history.<br /><br />At circa 85 minutes, the story moves at a nice pace, telling the story of Philip Carey (Howard) as his life crosses that of the destructive Mildred Rogers over and over again.<br /><br />Howard and Davis' chemistry is all but non-existent -- Davis sustained in an interview much later in life she personally didn't care much for Howard's iciness towards her and that helped her act even worse (in character) towards him as Mildred. All the same, the two seem awkward with one another; their scenes together remain stiff, only salvaged by the ferocious acidity Davis brings to her lines and her own nervous presence. Then again, Cromwell's direction has a certain stiltedness about itself that fails to come through at times -- he tries to fill in some space (whenever Davis is not there) with dissolves and montages indicating the passing of time (a calendar superimposed over a changing Frances Dee). All much in the style back then. This was before technicalities and complicated camera angles came into being, and in essence, the visual story is a simplified, bare essentials translation of the Somerset Maugham's novel -- which is saying a lot, since at 600 pages, ""Of Human Bondage"" would have been indeed hard to film even then.<br /><br />Storywise, it feels that Philip Carey may be something of a glutton for punishment, since there is no discernible, sexual attraction between he and Mildred and to compound that, Mildred never hides her displeasure from the get-go. Howard's performance never seems to go through much external emotion -- his eyes are constantly sad, his expression never veers too far away from lost (he could almost be a distant cousin to William Hurt in ""The Accidental Tourist"" -- dejected, hurt, and absolutely passive), but this is possibly a part of his character and the reason he fails to see that other women (played by Kay Johnson and Frances Dee) are making themselves vulnerable to unrequited affections. Interestingly, Johnson's Norah, once she realizes Carey will never fall for her, is the one who sums the story up with her observation that people are bound to other people -- she is bound to Carey as Carey is bound to Mildred, and Mildred herself is bound to Miller (or men who fit the role of provider). In her short but memorable scene, she's the one who holds the essence of the story's moral.",positive
"I watched this film in shire joy.<br /><br />This is possibly one of the best films of all time. It has a timeless value, you can get so much out of it it's amazing. There are parts that are moving, funny, and just great.<br /><br />All aspect are spot on, the portrayal of the story is perfect, every detail is 100% genuine, even small Irish subtleties have been covered.<br /><br />The use of low and high shots gives two great views on Cristy (look out for that).<br /><br />Daniel Day-Lewis's performance is incredible. I've never seen an actor do that, ever. It really is amazing.<br /><br />And it's so great to watch, it flows so well, it's probably the closest thing yo can get to real life experience. I love it.<br /><br />If you haven't seen it, you should see it. Don't have any doubts on it, there is something there for all.",positive
"i stopped this movie at 48 minutes and change... i don't know...maybe it's because i'm not Swedish...or french(the cannes commenter)...or any of those OTHER sleepy places from which the previous reviewers held forth... born and raised in NY. lived near san francisco for a quarter of a century. and now Holland. i love a good independent film as much as the next movie enthusiast... but this, in a word, isn't funny. see? now THAT's funny...that you're thinking that i made a mistake. i said, 'in a word' but then said, 'isn't funny'... nope. no mistake. if this is your type of humor, i'd say you haven't really had much of a life... consider your appreciation of this film a symptom... and PLEASE don't EVER write another review...i have a tendency to believe them when they're unanimous. even if there only were about 3 reviews before mine...i figured i might ACtually be able to save someone ELSE the boredom...the anticipation of laughter that never materializes... i DID smile once or twice, though... when i started the movie...and when i stopped it. that should be 10 lines.",negative
"I had two reasons for watching this swashbuckler when it aired on Danish television yesterday. First of all, I wanted to see Gina Lollobrigida - and here I wasn't disappointed. She looked gorgeous. Second of all, through reading about the film I had gotten the impression that it featured absurd humor not unlike that which can be found in Philippe de Broca's films. On this account, however, I was sadly disappointed. I found the jokes predictable (apart from a few witty remarks on the topic of war) and the characters completely one-dimensional. Also, the action scenes were done in a strangely mechanical and uninspired fashion, with no sense of drama at all. I kept watching until the end, but I got bored very quickly and just sat there, waiting for the scenes with Lollobrigida.",negative
"It would be wrong and reprehensible of me to advise you to watch Killjoy 2, you must have better things to do, washing the car, throwing stones in a stream, but at the same time it's nowhere near as awful as you probably think it is. It's almost a proper film, which a lot more than most straight-to-DVD sludge can manage. Killjoy 2 is helped a great deal by Trent Haaga's manic turn as the eponymous clown, he throws himself into the role with such fevered abandonment that he almost tips the scales in the movie's favour, but, of course, it takes more than one man in big shoes. Tammi Sutton gives the most entertaining director cameo since Roger Corman in Creature from the Haunted Sea and the whole thing is nearly destroyed by the rushed, sugary ending. All over the place and almost good fun.",negative
My husband and I just got done watching this movie. I was not expecting it to be this good! I was really astonished at how great the story line was. I'm usually very good at figuring out twisty plots...but this one had me. I loved it! I'm going to have to watch it again before I take it back. I might even have to buy it. :),positive
"Nominated for the oscar ""worst script ever"" in my opinion. There's no decent story, rediculous acting, VERY lousy humor. By every means possible, if you have little self respect please don't waste your time seeing this movie. Although u can see the actors CAN act, it leaves you dumber after watching it. Precious braincells are being killed watching this crap...<br /><br />i warned u<br /><br />DON'T SEE THIS MOVIE",negative
"These days, Ridley Scott is one of the top directors and producers and can command huge sums to helm movies--especially since he has films like ALIEN, GLADIATOR and BLADE RUNNER to his credit. So from this partial list of his credits, it's obvious he's an amazing talent. However, if you watch this very early effort that he made while in film school, you'd probably have a hard time telling that he was destined for greatness. That's because although it has some nice camera-work and style, the film is hopelessly dull and uninvolving. However, considering that it wasn't meant for general release and it was only a training ground, then I am disposed to looking at it charitably--hence the score of 4.<br /><br />By the way, this film is part of the CINEMA 16: European Shorts DVD. On this DVD are 16 shorts. Most aren't great, though because it contains THE MAN WITHOUT A HEAD, COPY SHOP, RABBIT and WASP, it's an amazing DVD for lovers of short films and well worth buying.",negative
"This is my first review on IMDb.com and probably first ever written review of a film I've done of my own accord - not for some class assignment. I think that fact alone says something about this movie... not a good thing! I am no seasoned journalist or critic (though I have seen my fair share of movies), but I found this particular film so terribly painful to watch, it was necessary for my own peace of mind to vent about the experience. Where better to do it than IMDb? As I forced myself to sit through the movie, physically writhing from the inability to connect-the-dots, I was sure there would be some ""light at the end of the tunnel"" - a revelation to explain what in samhe.-.ll was going on. The movie ended and I was as enlightened as dog****. After several rewinds to review certain scenes I still could conclude nothing sensible. I found myself wanting to yell ""Does this make sense to anybody?"" I would recommend to not waste your time, but then again if I were you I'd probably want to experience it myself. If that's the case, bring a crossword puzzle or something so you don't get bored.",negative
"My wife and I both thought this film a watered-down, made-for-TV (BBC) version of Manhattan Murder Mystery...which is itself good, but not great. The story has little inter- character tension or chemistry, and not much of a plot. Woody Allen's character just sort of wanders around running off at the mouth, and Hugh Jackman and Scarlett Johannsson don't have a lot more to do. It's pretty disappointing, I must say. Ian McShane's role is just an expanded cameo appearance. <br /><br />The first thing that occurred to me was ""I wonder how much the BBC had to pay Woody Allen to dislodge him from Manhatttan?"" He must've needed the money, and they must have needed his appeal to expand their audience beyond the youth market drawn to the two stars. I'm giving this movie 4 stars instead of 3 because it is unbothersome background noise. If you ever want something to have on while you're knitting or sorting your stamp collection, this'll do the job. I wouldn't pay to rent it again.",negative
"The film begins with a little girl (Rita) seeing her father killed. He apparently was a criminal who squealed on his fellow crooks. Later, and this part makes little sense, the girl has grown to adulthood and STILL her father's past haunts her! A bit later, Rita meets a good-for-nothing and dates him. During one of their dates, he's a bit intoxicated AND driving like a total fool. The cops give chase and he speeds away--killing a pedestrian in the meantime. Here comes the Really stupid part. He convinces her to confess to the crime, as he assures her his lawyers can get her off scot-free. Why, oh why, would she agree to this?! Yet she does and spends the next couple years in prison!! And, soon after her conviction, this boyfriend disappears--showing that he's a total heel. What a chump!!! Later, after her release, her friend (Jack La Rue) informs her about the truth about the boyfriend. Then, he explains, the boyfriend's family is loaded and she should shake them down for lots of cash for all the trouble he put her to by taking the rap. Frankly, this does make sense--as they certainly owe it to her--especially since they knew she'd go to prison and had every intention of using her and then casting her aside.<br /><br />Now the idea of bleeding money from the rich chumps is a good plot idea. However, there is no way this would have occurred in the first place because it's hard to believe anyone could be so stupid as to take the rap for a hit-and-run! In an interesting twist, the dumb lady decides on a life of crime--donning a wig and picking up a rich guy--taking him into the desert and robbing him at gunpoint! Wow...how she's changed! Apparently she loves the idea of stealing from ""phonies""--i.e., rich hypocrites. However, and this made no sense, she soon stopped doing this and began shaking down the father of the old boyfriend--why she bothered to do some petty robberies in the meantime made little sense. And, what also was a bit hard to believe was that instead of wanting money from the old jerk, she was interested in getting him to put his influence behind a mob-controlled man for mayor. Odd...very, very odd.<br /><br />In the meantime, another plot develops involving a young Alan Ladd. He's an undercover agent who has infiltrated the mob. He was chosen because he just happens to be a dead ringer for a real crook--what a cliché! But what makes no sense is that this real crook isn't in jail and is out committing crimes while the fake one is infiltrating the mob in another town.<br /><br />Eventually, evidence that Ladd is able to uncover is enough to issue warrants to the mob kingpins--including Rita. This is a case of very bad timing, as in the interim, she's made a decision to become a decent and legitimate woman, as she's met a really nice guy who she wants to marry! Wow,...what are the odds?! Overall, this is a goofy and rather dumb movie that suffers from ""kitchen sink syndrome""--in other words, there is way too many plot elements and weird twists to make the movie the least bit believable. Plus, since the movie is only a little over an hour long, it all seems very forced and contrived. It's a relatively bad B-movie from crap-studio PRC of note only for the performance of Alan Ladd just before he gained great fame the following year at Paramount.<br /><br />By the way, this DVD was released by Alpha Video---a company which sometimes releases some wonderfully obscure titles (mostly public domain) but which NEVER cleans up the prints or adds closed captions. In other words, the DVD production values are strictly 3rd-rate...at best.",negative
"I really have problems rating this movie. It is directed brilliantly, there is obviously a lot of money in it. Gere and Danes are intense (although her screen personality could use a bit more defining and spicing up), editing and cinematography are excellent. On the other hand, it is one of those really really sick movies where one cannot help but wonder whether the director himself likes to stage specific scenes, and, yes, one cannot help but wonder how many copycats will such a movie inspire.<br /><br />In purely artistic terms, it is a 9, but I really have to ask myself who these people are giving their money to produce such a movie ....",negative
"I am a big fan of Fred MacMurray and Carole Lombard. And, in addition to them, Charles Butterworth (a very enjoyable supporting actor) was in this film,...so why didn't I particularly enjoy it?! Well, despite a good cast, this is one of the poorest written and most clichéd ""A pictures"" I have ever seen. Given the talent and money spent to make this film, it is shocking how slip-shod the writing was. I knew the film would be tedious when time after time early in the film I found myself predicting EXACTLY what would happen next--and I was always right! And this isn't because I am some sort of ""movie savant"", but was because almost no imagination or effort went into it. In fact, it seemed almost as if the film was just a long string of clichés all strung together! Also, I found it a bit irritating that Fred mistreated Carole so bad throughout the film and yet, true to convention, she came running to him in the end. Uggh! There is MORE suspense in a Lassie film (""will he bring people to rescue Timmy or will the rope he is dangling from break?"").<br /><br />Despite the very, very tired and clichéd script, there were a few positives about the film. It was pretty cool seeing Fred look like a broken lush at the end of the film--it was pretty believable and he looked like he hadn't eaten, shaved or slept in days. Also, Charles Butterworth's ""prattle"" did provide a few mildly humorous moments. But all this just wasn't enough to make this film look any different than a ""B movie"". It's a shame,...it could have been so much better.",negative
